BM_IgA_1	BM_IgA_2	BM_IgA_3	BM_IgA_4	BM_IgG_1	BM_IgG_2	BM_IgG_3	BM_IgG_4	BM_IgM_1	BM_IgM_3	BM_IgM_4
0610005C13Rik	18	8	18	11	12	15	12	12	19	30	20
0610006L08Rik	0	0	11	0	0	0	1	1	0	1	0
0610009B22Rik	102	93	124	128	126	125	131	171	258	207	198
0610009E02Rik	50	11	22	13	21	37	9	11	22	23	19
0610009L18Rik	5	10	3	4	3	1	5	2	12	12	4
0610010K14Rik	76	86	88	119	64	29	55	86	106	118	157
0610012D04Rik	57	81	63	28	42	55	16	1	35	31	12
0610012G03Rik	191	190	197	160	147	140	189	162	227	272	256
0610025J13Rik	0	0	0	0	1	0	0	0	0	0	0
0610030E20Rik	213	275	339	284	202	214	246	306	267	519	422
0610031O16Rik	5	1	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	5	13	26	3	2	12	6	2	11	22	15
0610039K10Rik	97	82	86	90	71	108	114	122	106	134	115
0610040B10Rik	52	14	41	20	18	34	29	14	54	37	25
0610040F04Rik	1	0	0	0	0	2	0	3	0	1	1
0610040J01Rik	0	0	0	0	1	0	1	0	0	0	3
0610043K17Rik	0	0	0	0	0	2	0	0	0	0	0
0710001A04Rik	0	0	1	0	0	1	3	0	2	0	0
1010001B22Rik	10	9	9	7	15	14	9	10	15	21	10
1100001I12Rik	0	0	0	0	0	0	0	0	2	1	0
1110002E22Rik	10	4	9	8	2	4	3	8	5	9	4
1110002J07Rik	0	0	0	0	0	0	0	0	15	1	0
1110002L01Rik	40	40	56	57	26	35	33	74	54	52	59
1110002O04Rik	0	0	0	0	0	0	0	0	1	1	0
1110003F10Rik	1	2	3	1	2	3	3	5	3	1	3
1110004F10Rik	827	693	825	861	951	642	824	947	1176	1382	1157
1110006O24Rik	17	10	12	20	14	12	16	19	31	26	19
1110008E08Rik	1	0	0	0	1	0	0	0	0	0	0
1110013H19Rik	6	3	5	4	12	1	10	12	7	15	3
1110015O18Rik	4	4	3	1	3	0	4	0	3	2	0
1110017D15Rik	0	1	1	1	0	0	3	2	1	0	0
1110018N20Rik	315	327	371	284	246	232	160	26	270	290	73
1110019B22Rik	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	31	58	19	31	79	39	24	49	74	70	61
1110020A21Rik	5	11	12	4	9	6	9	4	5	13	4
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	1	3	2	7	3	2	5	3	9	5	7
1110028F11Rik	0	3	0	0	0	0	0	0	1	1	0
1110028F18Rik	1	0	0	0	2	1	0	1	1	0	0
1110032A03Rik	223	241	271	211	194	246	229	190	454	439	243
1110032F04Rik	3	20	16	2	0	0	3	0	0	1	1
1110035H17Rik	29	7	28	14	9	24	12	23	24	26	13
1110038B12Rik	14	5	5	3	9	17	25	17	16	19	30
1110038F14Rik	258	224	247	285	186	207	220	217	282	341	283
1110046J04Rik	3	2	5	0	1	3	0	0	2	2	1
1110051M20Rik	267	239	222	242	303	267	316	241	363	314	249
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	1
1110059E24Rik	354	282	336	403	436	455	486	679	897	1191	801
1110059G10Rik	122	103	173	115	102	100	122	124	170	172	185
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	59	65	76	101	57	57	66	54	85	128	84
1190001M18Rik	1	1	1	0	0	0	6	0	1	0	0
1190005I06Rik	12	9	12	4	6	1	0	3	5	15	7
1190007I07Rik	75	101	102	62	91	86	116	105	123	100	89
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	1	1	1	0	2	1	0	0	0	0
