Seurat_S	Seurat_G2M	Macosko_IG1.S	Macosko_S	Macosko_G2.M	Macosko_M	Macosko_M.G1
Blm	Anln	Acd	Abcc5	Anln	Ahi1	Agpat3
Brip1	Anp32e	Adamts1	Abhd10	Ap3d1	Akirin2	Akap13
Casp8ap2	Aurka	Ankrd10	Asf1b	Arhgap19	Ankrd40	Amd1
Ccne2	Aurkb	Apex2	Bbs2	Arl4a	Anln	Anp32e
Cdc45	Birc5	Arglu1	Bivm	Armc1	Anp32b	Antxr1
Cdc6	Bub1	Bard1	Blm	Asxl1	Anp32e	Bag3
Cdca7	Cbx5	Brd7	Bmi1	Atl2	Arhgap19	Btbd3
Chaf1b	Ccnb2	Capn7	Brca1	Aurkb	Arl6ip1	Cbx3
Clspn	Cdc20	Casp2	Brip1	Bclaf1	Asxl1	Cdc42
Dscc1	Cdc25c	Casp8ap2	Cald1	Bora	Atf7ip	Cdk7
Dtl	Cdca2	Ccne1	Calm2	Brd8	Aurka	Cdkn3
E2f8	Cdca3	Ccne2	Casp2	Bub3	Birc2	Cep70
Exo1	Cdca8	Cdc25a	Ccdc14	1700066M21Rik	Birc5	Cnih4
Fen1	Cdk1	Cdc6	Ccdc150	Casp3	Bub1	Ctr9
Gins2	Cenpa	Cdca7	Cdc45	Cbx5	Cadm1	Cwc15
Gmnn	Cenpe	Cdca7l	Cdc7	Ccdc107	Ccdc88a	Dcp1a
Hells	Cenpf	Cep57	Cdca5	Ccna2	Ccdc90b	Dctn6
Mcm2	Ckap2	Chaf1a	Cdkn2aip	Ccnf	Ccna2	Dexi
Mcm4	Ckap2l	Chaf1b	Cenpm	Cdc16	Ccnb2	Dkc1
Mcm5	Ckap5	Clspn	Cenpq	Cdc25c	Cdc20	Dnajb6
Mcm6	Cks1b	Crebzf	Cers6	Cdca2	Cdc25b	Dsp
Msh2	Cks2	Gm49369	Chml	Cdca3	Cdc27	Dynll1
Nasp	Ctcf	Dis3	Coq9	Cdca8	Cdc42ep1	Eif4e
Pcna	Dlgap5	Dnajc3	Cpne8	Cdk1	Cdca3	Elp3
Pola1	Ect2	Atp5o	Crebzf	Cdkn1b	Cenpa	Fam189b
Prim1	G2e3	Dscc1	Crls1	Cdkn2c	Cenpe	Foxk2
Rad51	Gas2l3	Dtl	Depdc7	Cdr2	Cenpf	Fxr1
Rad51ap1	Gtse1	E2f1	Dhfr	Cenpl	Cep55	G3bp1
Rfc2	Hjurp	Eif2a	Dna2	Cep350	Cflar	Gata2
Rpa2	Hmgb2	Esd	Dnajb4	Cfd	Cit	Gnb1
