human_gene_symbol	human_chromosome
MT-TF	MT
MT-RNR1	MT
MT-TV	MT
MT-RNR2	MT
MT-TL1	MT
MT-ND1	MT
MT-TI	MT
MT-TQ	MT
MT-TM	MT
MT-ND2	MT
MT-TW	MT
MT-TA	MT
MT-TN	MT
MT-TC	MT
MT-TY	MT
MT-CO1	MT
MT-TS1	MT
MT-TD	MT
MT-CO2	MT
MT-TK	MT
MT-ATP8	MT
MT-ATP6	MT
MT-CO3	MT
MT-TG	MT
MT-ND3	MT
MT-TR	MT
MT-ND4L	MT
MT-ND4	MT
MT-TH	MT
MT-TS2	MT
MT-TL2	MT
MT-ND5	MT
MT-ND6	MT
MT-TE	MT
MT-CYB	MT
MT-TT	MT
MT-TP	MT
	KI270442.1
	CHR_HSCHR2_2_CTG1
	GL000009.2
	KI270711.1
	CHR_HSCHR5_2_CTG1
LINC02109	CHR_HSCHR5_2_CTG1
PCMTD2	CHR_HSCHR20_1_CTG3
OPRL1	CHR_HSCHR20_1_CTG3
NPBWR2	CHR_HSCHR20_1_CTG3
	CHR_HSCHR20_1_CTG3
MYT1	CHR_HSCHR20_1_CTG3
KIR2DS4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
INTS3	CHR_HSCHR1_1_CTG31
KIR2DL4	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
LILRP2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
	CHR_HSCHR1_4_CTG31
KIR3DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
PPIAL4F	CHR_HSCHR1_4_CTG31
LILRP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DS5	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
RNVU1-26	CHR_HSCHR1_4_CTG31
KIR2DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
RNVU1-2A	CHR_HSCHR1_4_CTG31
KIR2DS2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DL5B	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
DNAH10	CHR_HSCHR12_6_CTG2_1
KIR2DS2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KIR2DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
	GL000213.1
KIR3DL3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
