human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
A1BG	19	protein	secreted, extracellular, intracellular, receptor	secreted, extracellular, intracellular, receptor	3	FALSE	HPA_secretome, LOCATE, OmniPath, GO_Intercell, ComPPI, UniProt, CellTalkDB	FALSE	NA
A1CF	10	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, ComPPI, UniProt, LOCATE	FALSE	NA
A2M	12	protein	ecm_regulator, secreted, extracellular, growth_factor_binder, ligand_regulator, intracellular	ecm_regulator, secreted, extracellular, ligand_regulator, intracellular	5	FALSE	Matrisome, HPA_secretome, OmniPath, connectomeDB2020, LOCATE, GO_Intercell, UniProt, Baccin2019	FALSE	NA
A3GALT2	1	protein	transmembrane, intracellular	transmembrane_predicted, transmembrane, intracellular	3	TRUE	Phobius, UniProt, GO_Intercell, OmniPath	FALSE	NA
A4GALT	22	protein	transmembrane, transmembrane_predicted, intracellular, transmembrane_sosui, transmembrane_tmhmm, transmembrane_phobius	transmembrane, intracellular, transmembrane_predicted	6	TRUE	Ramilowski_location, OmniPath, UniProt, GO_Intercell, LOCATE, Almen2009, Phobius, ComPPI	FALSE	NA
A4GNT	3	protein	intracellular, transmembrane	intracellular, transmembrane	5	TRUE	GO_Intercell, UniProt, OmniPath, Ramilowski_location, LOCATE	FALSE	NA
AAAS	12	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	OmniPath, UniProt, ComPPI, GO_Intercell, Ramilowski_location	FALSE	NA
AACS	12	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	3	TRUE	ComPPI, OmniPath, UniProt, GO_Intercell, Phobius	FALSE	NA
AADAC	3	protein	transmembrane, intracellular, transmembrane_tmhmm, transmembrane_predicted	transmembrane, intracellular, transmembrane_predicted	7	TRUE	TopDB, UniProt, ComPPI, Almen2009, GO_Intercell, Phobius, OmniPath, LOCATE, Ramilowski_location	FALSE	NA
AADACL2	3	protein	secreted, transmembrane	secreted, transmembrane	3	TRUE	UniProt, OmniPath, HPA_secretome, Ramilowski_location	FALSE	NA
AADACL3	1	protein	transmembrane	transmembrane, transmembrane_predicted	1	TRUE	OmniPath, Phobius, Ramilowski_location	FALSE	NA
AADACL4	1	protein	transmembrane, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	TRUE	UniProt, OmniPath, Phobius, Almen2009	FALSE	NA
AADAT	4	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, UniProt, GO_Intercell, OmniPath	FALSE	NA
AAGAB	15	protein	intracellular	intracellular	3	FALSE	OmniPath, LOCATE, UniProt, GO_Intercell, ComPPI	FALSE	NA
AAK1	2	protein	intracellular, plasma_membrane, receptor	intracellular, plasma_membrane, receptor	2	FALSE	LOCATE, OmniPath, UniProt, ComPPI, GO_Intercell, scConnect	FALSE	NA
AAMDC	11	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
AAMP	2	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
AANAT	17	protein	extracellular, intracellular, secreted	extracellular, intracellular, secreted	3	FALSE	OmniPath, HPMR, UniProt, connectomeDB2020, GO_Intercell, ComPPI	FALSE	NA
