mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
mt-Nd4	MT	MT-ND4	MT
mt-Nd1	MT	MT-ND1	MT
mt-Nd2	MT	MT-ND2	MT
mt-Nd6	MT	MT-ND6	MT
mt-Nd5	MT	MT-ND5	MT
mt-Co3	MT	MT-CO3	MT
mt-Nd3	MT	MT-ND3	MT
mt-Atp6	MT	MT-ATP6	MT
mt-Co1	MT	MT-CO1	MT
mt-Co2	MT	MT-CO2	MT
mt-Cytb	MT	MT-CYB	MT
mt-Nd4l	MT	MT-ND4L	MT
mt-Atp8	MT	MT-ATP8	MT
Dgcr6	16		KI270734.1
Prodh	16		KI270734.1
Gm22809	7		KI270750.1
Frg1	8		GL000219.1
Tekt4	17	MAFIP	GL000194.1
Mrpl23	7		KI270721.1
Ighv3-5	12		KI270726.1
Olfr732	14		KI270727.1
Olfr733	14		KI270727.1
Olfr734	14		KI270727.1
Slc6a8	X		KI270728.1
Ighv3-1	12		KI270726.1
Ighv3-3	12		KI270726.1
Ighv3-4	12		KI270726.1
Ighv3-6	12		KI270726.1
Ighv12-3	12		KI270726.1
Ighv3-8	12		KI270726.1
Gm29289	Y	RBMY1A1	Y
Gm29289	Y	RBMY1J	Y
Gm29289	Y	RBMY1B	Y
Gm29289	Y	RBMY1D	Y
Gm29289	Y	RBMY1F	Y
Gm29289	Y	RBMY1E	Y
Gm10256	Y	RBMY1A1	Y
Gm10256	Y	RBMY1J	Y
Gm10256	Y	RBMY1B	Y
Gm10256	Y	RBMY1D	Y
Gm10256	Y	RBMY1F	Y
Gm10256	Y	RBMY1E	Y
Ddx3y	Y	DDX3Y	Y
Sry	Y	SRY	Y
Kdm5d	Y	KDM5D	Y
Gm21677	Y	RBMY1A1	Y
Gm21677	Y	RBMY1J	Y
Gm21677	Y	RBMY1B	Y
Gm21677	Y	RBMY1D	Y
Gm21677	Y	RBMY1F	Y
Gm21677	Y	RBMY1E	Y
Hsfy2	1	HSFY2	Y
Hsfy2	1	HSFY1	Y
Gm3376	Y	RBMY1A1	Y
Gm3376	Y	RBMY1J	Y
Gm3376	Y	RBMY1B	Y
Gm3376	Y	RBMY1D	Y
Gm3376	Y	RBMY1F	Y
Gm3376	Y	RBMY1E	Y
Gm21693	Y	RBMY1A1	Y
Gm21693	Y	RBMY1J	Y
Gm21693	Y	RBMY1B	Y
Gm21693	Y	RBMY1D	Y
Gm21693	Y	RBMY1F	Y
Gm21693	Y	RBMY1E	Y
Usp9y	Y	USP9Y	Y
Tmsb4x	X	TMSB4Y	Y
Rbmy	Y	RBMY1A1	Y
Rbmy	Y	RBMY1J	Y
Rbmy	Y	RBMY1B	Y
Rbmy	Y	RBMY1D	Y
Rbmy	Y	RBMY1F	Y
Rbmy	Y	RBMY1E	Y
Gm25259	7	RNU2-57P	Y
Tbl1x	X	TBL1Y	Y
Tgif2lx1	X	TGIF2LY	Y
Gm21708	Y	RBMY1A1	Y
Gm21708	Y	RBMY1J	Y
Gm21708	Y	RBMY1B	Y
Gm21708	Y	RBMY1D	Y
Gm21708	Y	RBMY1F	Y
Gm21708	Y	RBMY1E	Y
Zfx	X	ZFY	Y
Uty	Y	UTY	Y
Dazl	17	DAZ4	Y
Dazl	17	DAZ3	Y
Dazl	17	DAZ1	Y
Dazl	17	DAZ2	Y
Tgif2lx2	X	TGIF2LY	Y
Pcdh11x	X	PCDH11Y	Y
Gm21704	Y	RBMY1A1	Y
Gm21704	Y	RBMY1J	Y
Gm21704	Y	RBMY1B	Y
Gm21704	Y	RBMY1D	Y
Gm21704	Y	RBMY1F	Y
Gm21704	Y	RBMY1E	Y
Gm10352	Y	RBMY1A1	Y
Gm10352	Y	RBMY1J	Y
Gm10352	Y	RBMY1B	Y
Gm10352	Y	RBMY1D	Y
Gm10352	Y	RBMY1F	Y
Gm10352	Y	RBMY1E	Y
Gm4064	Y	RBMY1A1	Y
Gm4064	Y	RBMY1J	Y
Gm4064	Y	RBMY1B	Y
Gm4064	Y	RBMY1D	Y
Gm4064	Y	RBMY1F	Y
Gm4064	Y	RBMY1E	Y
	14	RNU6-1334P	Y
Ifna11	4	IFNA16	9
Ifna11	4	IFNA2	9
Ifna11	4	IFNA6	9
Ifna11	4	IFNA13	9
Ifna11	4	IFNA7	9
Ifna11	4	IFNA17	9
Adra1d	2	ADRA1D	20
H2al1g	X	H2AL3	X
P2ry10	X	P2RY10	X
	19	SNORD86	20
Fndc3a	14	FNDC3A	13
Ripply1	X	RIPPLY1	X
Hsf2bp	17	HSF2BP	21
Tmem191c	16	TMEM191B	22
Gart	16	GART	21
Olfm4	14	OLFM4	13
Ttll12	15	TTLL12	22
Ighv3-4	12	IGHV4-34	14
Cryzl1	16	CRYZL1	21
Frem2	3	FREM2	13
Clec14a	12	CLEC14A	14
Ighv12-3	12	IGHV4-34	14
Pigg	5	PIGG	4
Mospd2	X	MOSPD2	X
Phyh	2	PHYH	10
Tspan7	X		X
Rbm11	16	RBM11	21
Sim2	16	SIM2	21
Gtf3a	5	GTF3A	13
Nol12	15		22
Nol12	15	NOL12	22
Klf5	14	KLF5	13
Adamts1	16	ADAMTS1	21
Ube2g2	10	UBE2G2	21
Rtl4	X	RTL4	X
Tbc1d19	5	TBC1D19	4
Dhx35	2	DHX35	20
Tceal8	X	TCEAL8	X
Ighv1-55	12	IGHV1OR21-1	21
Gm22591	6	RNU6-919P	20
Pwp2	10		21
Pwp2	10	PWP2	21
Fbxo15	18	FBXO15	18
Sohlh2	3	SOHLH2	13
Sohlh2	3	CCDC169-SOHLH2	13
Wfdc9	2	WFDC9	20
Fam110a	2	FAM110A	20
Trdv5	14	TRDV3	14
Rps4x	X	RPS4X	X
4932429P05Rik	X	PPP4R3C	X
Tfe3	X	TFE3	X
Atp5e	2	ATP5F1E	20
Cstdc2	2	CST9L	20
Pias2	18	PIAS2	18
Tnrc6b	15	TNRC6B	22
Gm25512	2	RNU6-228P	20
Ggt7	2	GGT7	20
Nudt5	2	NUDT5	10
Ighv1-15	12	IGHV1OR21-1	21
Brwd1	16	BRWD1	21
Cep76	18	CEP76	18
Soga1	2	SOGA1	20
Twsg1	17	TWSG1	18
Frmd4a	2	FRMD4A	10
Diaph3	14	DIAPH3	13
Setd4	16	SETD4	21
Dcaf12l2	X	DCAF12L2	X
Chgb	2	CHGB	20
Ucma	2	UCMA	10
Pmaip1	18	PMAIP1	18
Lmo7	14	LMO7	13
Gm22114	1	RNU6-1146P	20
Psmd10	X	PSMD10	X
Ubash3a	17	UBASH3A	21
Pan3	5	PAN3	13
Gm23650	2	SNORD56	20
Cdh19	1	CDH19	18
Galr1	18	GALR1	18
Cerk	15	CERK	22
Dnajc28	16	DNAJC28	21
Gm25979	10		21
Chst9	18	CHST9	18
Tcp10b	17	TCP10L	21
Chm	X	CHM	X
Inpp5j	11	INPP5J	22
Pcbp3	10	PCBP3	21
Ighv1-22	12	IGHV1OR21-1	21
Lacc1	14		13
Pir	X	PIR	X
Dgkk	X	DGKK	X
Tspear	10	TSPEAR	21
Mir133a-1	18	MIR133A1	18
Txnl1	18	TXNL1	18
Rbbp8nl	2	RBBP8NL	20
Lrrn4	2	LRRN4	20
Mc4r	18	MC4R	18
Dnajb7	15	DNAJB7	22
Gm23925	2	SNORA71C	20
Pik3ip1	11	PIK3IP1	22
Slc39a6	18	SLC39A6	18
Me2	18	ME2	18
Lbp	2	LBP	20
Gm25592	3		20
Gm26279	3	RNU6-1159P	20
Gm26279	3	RNU6-115P	20
Txlng	X	TXLNG	X
Depdc5	5		22
Depdc5	5	DEPDC5	22
Nfx1	4	NFX1	9
Cacna1i	15	CACNA1I	22
Wdr44	X	WDR44	X
Hs3st1	5	HS3ST1	4
Cfap61	2	CFAP61	20
Ighv1-36	12	IGHV1OR21-1	21
Cysltr1	X	CYSLTR1	X
Pcdh17	14	PCDH17	13
Krtap1-3	11	KRTAP10-11	21
D16Ertd472e	16	C21orf91	21
Serp2	14	SERP2	13
Lgals2	15	LGALS2	22
Ifna16	4	IFNA16	9
Ifna16	4	IFNA2	9
Ifna16	4	IFNA6	9
Ifna16	4	IFNA13	9
Ifna16	4	IFNA7	9
Ifna16	4	IFNA17	9
Ighv1-53	12	IGHV1OR21-1	21
Hdhd2	18	HDHD2	18
Atp6ap2	X	ATP6AP2	X
Pla2g6	15	PLA2G6	22
Trmt6	2	TRMT6	20
Cplx4	18	CPLX4	18
Glrx5	12	GLRX5	14
Scel	14	SCEL	13
Bpifb3	2	BPIFB3	20
Sec23b	2	SEC23B	20
Lrch2	X	LRCH2	X
Gm24258	14		20
Ighv15-2	12	IGHV1OR21-1	21
Arl5b	2	ARL5B	10
Mbtps2	X	MBTPS2	X
Rspo4	2	RSPO4	20
Vbp1	X	VBP1	X
Sel1l3	5	SEL1L3	4
Defb34	8	DEFB127	20
Defb34	8	DEFB121	20
Hspa13	16	HSPA13	21
Abhd12	2	ABHD12	20
Ywhab	2	YWHAB	20
Ankrd16	2	ANKRD16	10
Ss18	18	SS18	18
Bcl11b	12	BCL11B	14
Tmprss15	16	TMPRSS15	21
B830017H08Rik	16	FAM246A	22
B830017H08Rik	16	FAM246B	22
Gm26168	6		18
Gm23301	18	SNORD58A	18
Slc35f4	14	SLC35F4	14
Il1rapl1	X	IL1RAPL1	X
Syn3	10	SYN3	22
Neto1	18	NETO1	18
Egln3	12	EGLN3	14
Mtcp1	X	MTCP1	X
Ripor3	2	RIPOR3	20
Btbd7	12	BTBD7	14
