mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome	human_gene_symbol_unique	human_chromosome_unique	entity_type	category	parent	consensus_score	database_cs	database_tf
0610010K14Rik	11	RNASEK-C17orf49	17	RNASEK-C17orf49	17	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
0610030E20Rik	6	C2orf68	2	C2orf68	2	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
0610040J01Rik	5	C4orf19	4	C4orf19	4	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1110032A03Rik	9	C11orf1	11	C11orf1	11	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
1110032F04Rik	3	C3orf80	3	C3orf80	3	protein	transmembrane, cell_surface	transmembrane, transmembrane_predicted, cell_surface	4	UniProt, Phobius, Surfaceome, OmniPath, Ramilowski_location	NA
1110038F14Rik	15	C8orf33	8	C8orf33	8	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1110059G10Rik	9	KIAA1143	3	KIAA1143	3	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1110065P20Rik	4	C1orf122	1	C1orf122	1	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1190005I06Rik	8	C16orf74	16	C16orf74	16	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1600012H06Rik	17	C6orf120	6	C6orf120	6	protein	intracellular, transmembrane, secreted	intracellular, transmembrane, secreted	3	OmniPath, Ramilowski_location, UniProt, HPA_secretome, GO_Intercell	NA
1600014C10Rik	7	C19orf12	19	C19orf12	19	protein	transmembrane, intracellular	transmembrane, intracellular	4	UniProt, ComPPI, OmniPath, Ramilowski_location, GO_Intercell	NA
1700001L19Rik	13	C5orf49	5	C5orf49	5	protein	intracellular	intracellular	2	ComPPI, OmniPath, GO_Intercell	NA
1700001O22Rik	2	C9orf50	9	C9orf50	9	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1700010I14Rik	17	C6orf118	6	C6orf118	6	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1700012B09Rik	9	C11orf97	11	C11orf97	11	protein	intracellular	intracellular	2	OmniPath, UniProt, GO_Intercell	NA
1700013H16Rik	X	SYCP3	12	SYCP3	12	protein	intracellular	intracellular	3	LOCATE, ComPPI, UniProt, GO_Intercell, OmniPath	NA
1700017B05Rik	9	C15orf39	15	C15orf39	15	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	NA
1700017N19Rik	10	C12orf50	12	C12orf50	12	protein	intracellular	intracellular	2	OmniPath, ComPPI, GO_Intercell	NA
1700019D03Rik	1	C2orf88	2	C2orf88	2	protein	plasma_membrane	plasma_membrane	1	OmniPath, UniProt	NA
1700019N19Rik	19	C10orf82	10	C10orf82	10	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	NA
