mouse_gene_symbol	mouse_chromosome
mt-Tf	MT
mt-Rnr1	MT
mt-Tv	MT
mt-Rnr2	MT
mt-Tl1	MT
mt-Nd1	MT
mt-Ti	MT
mt-Tq	MT
mt-Tm	MT
mt-Nd2	MT
mt-Tw	MT
mt-Ta	MT
mt-Tn	MT
mt-Tc	MT
mt-Ty	MT
mt-Co1	MT
mt-Ts1	MT
mt-Td	MT
mt-Co2	MT
mt-Tk	MT
mt-Atp8	MT
mt-Atp6	MT
mt-Co3	MT
mt-Tg	MT
mt-Nd3	MT
mt-Tr	MT
mt-Nd4l	MT
mt-Nd4	MT
mt-Th	MT
mt-Ts2	MT
mt-Tl2	MT
mt-Nd5	MT
mt-Nd6	MT
mt-Te	MT
mt-Cytb	MT
mt-Tt	MT
mt-Tp	MT
	GL456239.1
	GL456385.1
	JH584303.1
	GL456219.1
	JH584297.1
	JH584298.1
	JH584296.1
	GL456354.1
	GL456221.1
	JH584299.1
	JH584295.1
	JH584304.1
	GL456212.1
	GL456211.1
	GL456381.1
	GL456372.1
	GL456210.1
Gm28489	Y
Gm21867	Y
Gm29448	Y
Gm21127	Y
Gm28488	Y
Gm20816	Y
Gm28491	Y
Gm29447	Y
Gm29446	Y
Gm29452	Y
Gm29451	Y
Gm20817	Y
Gm28490	Y
Gm28633	Y
Gm21562	Y
Gm29410	Y
Gm28298	Y
Gm21572	Y
Gm28297	Y
Gm28819	Y
Gm21753	Y
Gm21723	Y
Gm28462	Y
Gm20818	Y
Gm21151	Y
Gm28296	Y
Gm21821	Y
Gm29409	Y
Gm28632	Y
Gm28295	Y
Gm21842	Y
Gm28101	Y
Gm28170	Y
Gm21744	Y
Gm33815	Y
Gm21160	Y
Gm28764	Y
Gm28637	Y
Gm28636	Y
Gm20932	Y
Gm28762	Y
Gm29134	Y
Gm28763	Y
Gm28303	Y
Gm28304	Y
Gm28824	Y
Gm28081	Y
Gm28080	Y
Gm21524	Y
Gm21094	Y
Gm21588	Y
Gm28761	Y
Gm21599	Y
Gm28765	Y
Gm21810	Y
Gm21916	Y
Gm28079	Y
Gm28302	Y
Gm29191	Y
Gm28082	Y
Gm21756	Y
Gm21672	Y
Gm28210	Y
Gm29644	Y
Gm29074	Y
Gm28211	Y
Gm21118	Y
Gm28518	Y
Gm28519	Y
Gm28520	Y
Gm29423	Y
Gm29424	Y
4932431L22Rik	Y
Gm29425	Y
Gm20838	Y
Gm20888	Y
Gm21626	Y
Gm28238	Y
Gm28433	Y
Gm28521	Y
Gm28431	Y
Gm21633	Y
Gm28432	Y
Gm20886	Y
Gm28522	Y
Gm21808	Y
Gm21745	Y
Gm28517	Y
Gm29532	Y
Gm29531	Y
Gm28840	Y
Gm28464	Y
Gm28841	Y
Gm29656	Y
Gm28842	Y
Gm28843	Y
Gm29655	Y
Gm28837	Y
Gm21647	Y
Gm29653	Y
Gm28838	Y
Gm29654	Y
Gm28839	Y
Gm29651	Y
Gm20866	Y
Gm20868	Y
Gm29652	Y
Gm29080	Y
Gm21184	Y
Gm21201	Y
Gm28844	Y
Gm21841	Y
Gm29081	Y
Gm28668	Y
Gm29077	Y
Gm29076	Y
Gm20869	Y
Gm29079	Y
Gm28481	Y
Gm29078	Y
Gm28482	Y
Gm20853	Y
Gm28485	Y
Gm29075	Y
Gm20870	Y
Gm29225	Y
Gm28483	Y
Gm29226	Y
Gm28484	Y
Gm29227	Y
Gm28480	Y
Gm28339	Y
Gm20842	Y
Gm20855	Y
Gm29179	Y
Gm21880	Y
Gm29180	Y
Gm29386	Y
Gm29181	Y
Gm29384	Y
Gm21896	Y
Gm29280	Y
Gm20799	Y
Gm29279	Y
Gm20843	Y
Gm29182	Y
Gm28260	Y
Gm21795	Y
Gm20844	Y
Gm28261	Y
Gm28264	Y
Gm21872	Y
Gm20798	Y
Gm28463	Y
Gm29178	Y
Gm28584	Y
Gm21757	Y
Gm28585	Y
Gm28968	Y
Gm28495	Y
Gm20846	Y
Gm20847	Y
Gm20848	Y
Gm28969	Y
Gm21766	Y
Gm20800	Y
Gm21683	Y
Gm20896	Y
Gm28470	Y
Gm28469	Y
Gm21898	Y
Gm28468	Y
Gm28677	Y
Gm20898	Y
Gm21855	Y
Gm29333	Y
Gm29255	Y
Gm20902	Y
Gm28332	Y
Gm28678	Y
Gm28333	Y
Gm28334	Y
Gm28335	Y
Gm20903	Y
Gm28336	Y
Gm28272	Y
Gm28337	Y
Gm29256	Y
Gm28259	Y
Gm28338	Y
Gm28273	Y
Gm28812	Y
Gm28811	Y
Gm21715	Y
Gm28810	Y
Gm20835	Y
Gm29027	Y
Gm29028	Y
Gm29617	Y
Gm29029	Y
Gm29615	Y
Gm29030	Y
Gm29616	Y
Gm29023	Y
Gm29024	Y
Gm21784	Y
Gm29025	Y
Gm20805	Y
Gm29026	Y
Gm29618	Y
Gm28213	Y
Gm29109	Y
Gm28212	Y
Gm29108	Y
Gm21799	Y
Gm28227	Y
Gm29110	Y
Gm28781	Y
Gm20905	Y
Gm29411	Y
Gm21913	Y
Gm28174	Y
Gm28222	Y
	Y
Gm21835	Y
Gm21076	Y
Gm28820	Y
Gm29416	Y
Gm28223	Y
Gm29412	Y
Gm21869	Y
Gm20813	Y
Gm29413	Y
Gm28790	Y
Gm29671	Y
Gm21878	Y
Gm29272	Y
Gm28162	Y
Gm28789	Y
Gm20922	Y
Gm20738	Y
Gm20814	Y
Gm28787	Y
Gm28788	Y
Gm28545	Y
Gm28547	Y
Gm29278	Y
Gm28546	Y
Gm21922	Y
Gm21924	Y
Gm21111	Y
Gm21735	Y
Gm28608	Y
Gm28607	Y
Gm28771	Y
Gm28772	Y
Gm28606	Y
Gm28773	Y
Gm20850	Y
Gm20897	Y
Gm29574	Y
Gm28774	Y
Gm29575	Y
Gm28775	Y
Gm21875	Y
Gm20904	Y
Gm21765	Y
Gapdh-ps15	Y
Gm29576	Y
Gm29577	Y
Gm28776	Y
Gm21787	Y
Gm29573	Y
Gm28770	Y
Gm28377	Y
Gm20901	Y
Gm21776	Y
Gm21155	Y
Gm28176	Y
Gm28786	Y
Gm21163	Y
Gm28122	Y
Gm29360	Y
Gm28121	Y
Gm29496	Y
Gm29497	Y
Gm21173	Y
Gm29499	Y
Gm28123	Y
Gm28120	Y
Gm29313	Y
Gm29498	Y
Gm21180	Y
Gm36782	Y
Gm20859	Y
Gm29839	Y
Gm29314	Y
Gm29495	Y
Gm29310	Y
Gm28371	Y
Gm29311	Y
Gm28595	Y
Gm21638	Y
Gm37032	Y
Gm29312	Y
Gm29308	Y
Gm29309	Y
Gm28702	Y
Gm28701	Y
Gm28700	Y
Gm21865	Y
Gm28699	Y
Gm29433	Y
Gm28705	Y
Gm29215	Y
Gm28704	Y
Gm21882	Y
Gm21801	Y
Gm28540	Y
