mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
mt-Nd4l	MT	MT-ND4L	MT
mt-Co1	MT	MT-CO1	MT
mt-Co2	MT	MT-CO2	MT
mt-Nd2	MT	MT-ND2	MT
mt-Nd6	MT	MT-ND6	MT
mt-Atp6	MT	MT-ATP6	MT
mt-Nd4	MT	MT-ND4	MT
mt-Nd1	MT	MT-ND1	MT
mt-Co3	MT	MT-CO3	MT
mt-Cytb	MT	MT-CYB	MT
mt-Nd5	MT	MT-ND5	MT
mt-Nd3	MT	MT-ND3	MT
mt-Atp8	MT	MT-ATP8	MT
Dgcr6	16		KI270734.1
Prodh	16		KI270734.1
Tekt4	17	MAFIP	GL000194.1
Frg1	8		GL000219.1
Gm22809	7		KI270750.1
Mrpl23	7		KI270721.1
Ighv3-6	12		KI270726.1
Ighv3-4	12		KI270726.1
Olfr732	14		KI270727.1
Ighv3-5	12		KI270726.1
Ighv3-8	12		KI270726.1
Ighv3-3	12		KI270726.1
Olfr733	14		KI270727.1
Ighv12-3	12		KI270726.1
Slc6a8	X		KI270728.1
Ighv3-1	12		KI270726.1
Olfr734	14		KI270727.1
Tgif2lx1	X	TGIF2LY	Y
	14	RNU6-1334P	Y
Tgif2lx2	X	TGIF2LY	Y
Rbmy	Y	RBMY1A1	Y
Rbmy	Y	RBMY1J	Y
Rbmy	Y	RBMY1B	Y
Rbmy	Y	RBMY1D	Y
Rbmy	Y	RBMY1F	Y
Rbmy	Y	RBMY1E	Y
Gm4064	Y	RBMY1A1	Y
Gm4064	Y	RBMY1J	Y
Gm4064	Y	RBMY1B	Y
Gm4064	Y	RBMY1D	Y
Gm4064	Y	RBMY1F	Y
Gm4064	Y	RBMY1E	Y
Gm10352	Y	RBMY1A1	Y
Gm10352	Y	RBMY1J	Y
Gm10352	Y	RBMY1B	Y
Gm10352	Y	RBMY1D	Y
Gm10352	Y	RBMY1F	Y
Gm10352	Y	RBMY1E	Y
Uty	Y	UTY	Y
Sry	Y	SRY	Y
Tbl1x	X	TBL1Y	Y
Gm21708	Y	RBMY1A1	Y
Gm21708	Y	RBMY1J	Y
Gm21708	Y	RBMY1B	Y
Gm21708	Y	RBMY1D	Y
Gm21708	Y	RBMY1F	Y
Gm21708	Y	RBMY1E	Y
Gm25259	7	RNU2-57P	Y
Zfx	X	ZFY	Y
Gm21677	Y	RBMY1A1	Y
Gm21677	Y	RBMY1J	Y
Gm21677	Y	RBMY1B	Y
Gm21677	Y	RBMY1D	Y
Gm21677	Y	RBMY1F	Y
Gm21677	Y	RBMY1E	Y
Gm21704	Y	RBMY1A1	Y
Gm21704	Y	RBMY1J	Y
Gm21704	Y	RBMY1B	Y
Gm21704	Y	RBMY1D	Y
Gm21704	Y	RBMY1F	Y
Gm21704	Y	RBMY1E	Y
Kdm5d	Y	KDM5D	Y
Gm29289	Y	RBMY1A1	Y
Gm29289	Y	RBMY1J	Y
Gm29289	Y	RBMY1B	Y
Gm29289	Y	RBMY1D	Y
Gm29289	Y	RBMY1F	Y
Gm29289	Y	RBMY1E	Y
Gm3376	Y	RBMY1A1	Y
Gm3376	Y	RBMY1J	Y
Gm3376	Y	RBMY1B	Y
Gm3376	Y	RBMY1D	Y
Gm3376	Y	RBMY1F	Y
Gm3376	Y	RBMY1E	Y
Dazl	17	DAZ4	Y
Dazl	17	DAZ3	Y
Dazl	17	DAZ1	Y
Dazl	17	DAZ2	Y
Ddx3y	Y	DDX3Y	Y
Gm21693	Y	RBMY1A1	Y
Gm21693	Y	RBMY1J	Y
Gm21693	Y	RBMY1B	Y
Gm21693	Y	RBMY1D	Y
Gm21693	Y	RBMY1F	Y
Gm21693	Y	RBMY1E	Y
Gm10256	Y	RBMY1A1	Y
Gm10256	Y	RBMY1J	Y
Gm10256	Y	RBMY1B	Y
Gm10256	Y	RBMY1D	Y
Gm10256	Y	RBMY1F	Y
Gm10256	Y	RBMY1E	Y
Hsfy2	1	HSFY2	Y
Hsfy2	1	HSFY1	Y
Pcdh11x	X	PCDH11Y	Y
Usp9y	Y	USP9Y	Y
Tmsb4x	X	TMSB4Y	Y
Ifna11	4	IFNA16	9
Ifna11	4	IFNA2	9
Ifna11	4	IFNA6	9
Ifna11	4	IFNA13	9
Ifna11	4	IFNA7	9
Ifna11	4	IFNA17	9
Rell1	5	RELL1	4
Naa30	14	NAA30	14
Smpx	X	SMPX	X
Iglc4	16	IGLC2	22
Iglc4	16	IGLL5	22
Iglc4	16	IGLL1	22
Iglc4	16	IGLC3	22
Iglc4	16	IGLC1	22
Nufip1	14	NUFIP1	13
Xkrx	X	XKRX	X
Cst8	2	CST8	20
Susd6	12	SUSD6	14
Rbx1	15	RBX1	22
Jdp2	12	JDP2	14
Kcne2	16	KCNE2	21
Bex6	16	BEX4	X
Hspa13	16	HSPA13	21
Ptger2	14	PTGER2	14
Dgkk	X	DGKK	X
Meig1	2	MEIG1	10
Epg5	18	EPG5	18
Gm14698	X	STYX	14
Nap1l2	X	NAP1L2	X
Mageb16	X	MAGEB16	X
Ighv1-80	12	IGHV1OR21-1	21
Tec	5	TEC	4
Isx	8	ISX	22
Pigg	5	PIGG	4
Pcmtd2	2	PCMTD2	20
Fam114a1	5	FAM114A1	4
Gm9507	10	KRTAP10-6	21
Gm9507	10	KRTAP10-11	21
Fgf13	X	FGF13	X
Tgif2lx2	X	TGIF2LX	X
Tshz2	2	TSHZ2	20
C1qtnf9	14	C1QTNF9	13
Osbp2	11	OSBP2	22
Haus6	4	HAUS6	9
Sytl5	X	SYTL5	X
Cbx7	15	CBX7	22
Nkx2-4	2	NKX2-4	20
Cdh26	2	CDH26	20
Gm24451	2	SNORA51	20
Pou3f4	X	POU3F4	X
Krtap1-3	11	KRTAP10-11	21
Zic3	X	ZIC3	X
Kcns1	2	KCNS1	20
Diaph3	14	DIAPH3	13
Gtf3a	5	GTF3A	13
Tcl1b1	12	TCL1B	14
Clec14a	12	CLEC14A	14
Cd93	2	CD93	20
Snta1	2	SNTA1	20
Optn	2	OPTN	10
Xk	X	XK	X
Nanp	2	NANP	20
Rab27b	18	RAB27B	18
B4galt5	2	B4GALT5	20
Polr3f	2	POLR3F	20
Tmem50b	16	TMEM50B	21
Gm50364	18		18
Gm50364	18	IER3IP1	18
Rnf38	4	RNF38	9
Thbd	2	THBD	20
Ighv1-81	12	IGHV1OR21-1	21
Gm24258	14		20
Defb22	2	DEFB127	20
Defb22	2	DEFB121	20
Samsn1	16	SAMSN1	21
Cdh2	18	CDH2	18
Syngr1	15	SYNGR1	22
Cdx2	5	CDX2	13
H2al1k	X	H2AL3	X
Tbc1d8b	X	TBC1D8B	X
Xpnpep3	15	XPNPEP3	22
Zfp512b	2	ZNF512B	20
Tcp10a	17	TCP10L	21
Akap11	14	AKAP11	13
Ighv15-2	12	IGHV1OR21-1	21
Tnfrsf11a	1	TNFRSF11A	18
Dlgap1	17	DLGAP1	18
Gm26279	3	RNU6-1159P	20
Gm26279	3	RNU6-115P	20
Ankrd29	18	ANKRD29	18
Klf6	13	KLF6	10
Psip1	4	PSIP1	9
Bmp4	14	BMP4	14
Rrp1	10	RRP1	21
Klhl14	18	KLHL14	18
Ift27	15	IFT27	22
Dcc	18	DCC	18
Trdmt1	2	TRDMT1	10
Fos	12	FOS	14
Ribc2	15	RIBC2	22
Ndufv2	17	NDUFV2	18
H2al1g	X	H2AL3	X
Vsig4	X	VSIG4	X
Ucma	2	UCMA	10
Pacsin2	15	PACSIN2	22
Ankrd9	12	ANKRD9	14
Gm26224	1	SNORD74B	21
Urb1	16	URB1	21
Ighv1-84	12	IGHV1OR21-1	21
Flrt3	2	FLRT3	20
Edem2	2	EDEM2	20
Gm5150	3		20
Gm5150	3	SIRPG	20
Ighv1-19	12	IGHV1OR21-1	21
Ccdc175	12	CCDC175	14
Cyyr1	16	CYYR1	21
Gm22354	14	SNORD58B	18
Tex13a	X	TEX13B	X
Glrx5	12	GLRX5	14
Tmx4	2	TMX4	20
Hdhd2	18	HDHD2	18
Dlg3	X	DLG3	X
Psmd10	X	PSMD10	X
Mis18bp1	12	MIS18BP1	14
Wfdc9	2	WFDC9	20
Defb23	2	DEFB129	20
Ighv3-6	12	IGHV4-34	14
Spon2	5	SPON2	4
Tex13c1	X	TEX13C	X
Nop56	2	NOP56	20
Nup50	15	NUP50	22
Gm5678	16	CBR1	21
Sumo3	10	SUMO3	21
Gatd3a	10	GATD3B	21
Gatd3a	10		21
Gatd3a	10	GATD3A	21
Pwwp4a	X	PWWP4	X
Dtd2	12	DTD2	14
Gm24411	2	SNORA71C	20
Sh3bgrl	X	SH3BGRL	X
Rit2	18	RIT2	18
Cbln2	18	CBLN2	18
Pdha1	X	PDHA1	X
